hour,funding
1758708000,5.7834e-06
1758711600,-1.24326e-05
1758715200,7.617e-07
1758718800,1.341e-06
1758722400,9.1629e-06
1758726000,8.4651e-06
1758729600,8.2508e-06
1758733200,6.2066e-06
1758736800,1.10122e-05
1758740400,6.0737e-06
1758744000,1.16733e-05
1758747600,1.25e-05
1758751200,8.2051e-06
1758754800,1.25e-05
1758758400,1.25e-05
1758762000,1.25e-05
1758765600,1.25e-05
1758769200,1.25e-05
1758772800,1.25e-05
1758776400,6.8329e-06
1758780000,1.0399e-06
1758783600,3.5642e-06
1758787200,1.25e-05
1758790800,1.25e-05
1758794400,1.25e-05
1758798000,1.25e-05
1758801600,1.08736e-05
1758805200,8.0147e-06
1758808800,4.6982e-06
1758812400,9.6461e-06
1758816000,-1.0758e-06
1758819600,-3.7763e-06
1758823200,-2.968e-07
1758826800,8.4384e-06
1758830400,-1.5775e-06
1758834000,-1.4607e-06
1758837600,5.4594e-06
1758841200,3.8764e-06
1758844800,-4.343e-07
1758848400,-5.5769e-06
1758852000,-1.9747e-06
1758855600,-6.1726e-06
1758859200,-6.0303e-06
1758862800,-6.9855e-06
1758866400,-9.4064e-06
1758870000,-5.575e-06
1758873600,-1.0957e-06
1758877200,3.0365e-06
1758880800,4.3183e-06
1758884400,-1.9374e-06
1758888000,-4.1058e-06
1758891600,-1.04374e-05
1758895200,-4.6699e-06
1758898800,-1.02106e-05
1758902400,-2.48e-06
1758906000,-5.4362e-06
1758909600,-1.1521e-06
1758913200,2.3623e-06
1758916800,-2.3536e-06
1758920400,-1.5653e-06
1758924000,2.184e-06
1758927600,5.382e-07
1758931200,9.3461e-06
1758934800,1.02881e-05
1758938400,1.05987e-05
1758942000,1.25e-05
1758945600,1.25e-05
1758949200,1.25e-05
1758952800,1.25e-05
1758956400,1.25e-05
1758960000,1.25e-05
1758963600,8.7815e-06
1758967200,1.19733e-05
1758970800,1.25e-05
1758974400,1.25e-05
1758978000,1.25e-05
1758981600,1.25e-05
1758985200,1.25e-05
1758988800,1.25e-05
1758992400,1.25e-05
1758996000,1.25e-05
1758999600,1.25e-05
1759003200,1.25e-05
1759006800,1.25e-05
1759010400,1.25e-05
1759014000,1.25e-05
1759017600,1.25e-05
1759021200,1.25e-05
1759024800,1.25e-05
1759028400,1.25e-05
1759032000,1.25e-05
1759035600,1.25e-05
1759039200,1.25e-05
1759042800,1.25e-05
1759046400,1.25e-05
1759050000,1.25e-05
1759053600,1.18307e-05
1759057200,1.25e-05
1759060800,1.25e-05
1759064400,9.7166e-06
1759068000,8.8229e-06
1759071600,1.04089e-05
1759075200,7.9004e-06
1759078800,3.8362e-06
1759082400,5.3152e-06
1759086000,4.5743e-06
1759089600,5.8314e-06
1759093200,7.3659e-06
1759096800,1.093e-05
1759100400,1.25e-05
1759104000,1.25e-05
1759107600,1.03687e-05
1759111200,2.5773e-06
1759114800,-1.00815e-05
1759118400,-9.2295e-06
1759122000,-2.6868e-06
1759125600,7.159e-07
1759129200,-1.8654e-06
1759132800,-3.9131e-06
1759136400,3.0945e-06
1759140000,-1.75358e-05
1759143600,-9.1464e-06
1759147200,-6.0639e-06
1759150800,-6.1204e-06
1759154400,7.139e-07
1759158000,-2.2235e-06
1759161600,6.3942e-06
1759165200,1.25e-05
1759168800,4.516e-06
1759172400,6.6346e-06
1759176000,3.8861e-06
1759179600,7.8248e-06
1759183200,7.5731e-06
1759186800,7.9852e-06
1759190400,1.25e-05
1759194000,1.11828e-05
1759197600,1.25e-05
1759201200,1.25e-05
1759204800,1.25e-05
1759208400,8.6821e-06
1759212000,6.0561e-06
1759215600,6.8639e-06
1759219200,8.6047e-06
1759222800,1.25e-05
1759226400,6.3181e-06
1759230000,8.881e-06
1759233600,1.25e-05
1759237200,1.07407e-05
1759240800,1.25e-05
1759244400,1.09476e-05
1759248000,5.9457e-06
1759251600,4.699e-06
1759255200,1.25e-05
1759258800,1.25e-05
1759262400,1.25e-05
1759266000,1.25e-05
1759269600,1.25e-05
1759273200,1.05251e-05
1759276800,1.25e-05
1759280400,1.07554e-05
1759284000,1.25e-05
1759287600,1.25e-05
1759291200,1.25e-05
1759294800,1.25e-05
1759298400,1.25e-05
1759302000,1.25e-05
1759305600,1.25e-05
1759309200,1.25e-05
1759312800,1.25e-05
1759316400,1.25e-05
1759320000,1.25e-05
1759323600,1.25e-05
1759327200,1.25e-05
1759330800,1.25e-05
1759334400,1.25e-05
1759338000,1.25e-05
1759341600,1.25e-05
1759345200,1.25e-05
1759348800,1.25e-05
1759352400,1.25e-05
1759356000,1.25e-05
1759359600,1.25e-05
1759363200,1.25e-05
1759366800,1.25e-05
1759370400,1.25e-05
1759374000,1.25e-05
1759377600,1.25e-05
1759381200,1.25e-05
1759384800,1.25e-05
1759388400,1.25e-05
1759392000,1.25e-05
1759395600,1.25e-05
1759399200,1.25e-05
1759402800,1.25e-05
1759406400,1.25e-05
1759410000,1.25e-05
1759413600,1.25e-05
1759417200,1.25e-05
1759420800,1.25e-05
1759424400,1.25e-05
1759428000,1.25e-05
1759431600,1.25e-05
1759435200,1.25e-05
1759438800,1.25e-05
1759442400,1.25e-05
1759446000,1.25e-05
1759449600,1.25e-05
1759453200,1.25e-05
1759456800,1.25e-05
1759460400,1.25e-05
1759464000,1.25e-05
1759467600,1.25e-05
1759471200,1.25e-05
1759474800,1.25e-05
1759478400,1.25e-05
1759482000,1.25e-05
1759485600,1.25e-05
1759489200,1.25e-05
1759492800,1.25e-05
1759496400,1.25e-05
1759500000,1.25e-05
1759503600,1.25e-05
1759507200,1.25e-05
1759510800,1.25e-05
1759514400,1.25e-05
1759518000,1.25e-05
1759521600,1.25e-05
1759525200,1.25e-05
1759528800,1.25e-05
1759532400,1.25e-05
1759536000,1.25e-05
1759539600,1.25e-05
1759543200,1.25e-05
1759546800,1.25e-05
1759550400,1.25e-05
1759554000,1.25e-05
1759557600,1.25e-05
1759561200,1.25e-05
1759564800,1.25e-05
1759568400,1.25e-05
1759572000,1.25e-05
1759575600,1.25e-05
1759579200,1.25e-05
1759582800,1.25e-05
1759586400,1.25e-05
1759590000,1.25e-05
1759593600,1.25e-05
1759597200,1.25e-05
1759600800,1.25e-05
1759604400,1.25e-05
1759608000,1.25e-05
1759611600,1.25e-05
1759615200,1.25e-05
1759618800,1.25e-05
1759622400,1.25e-05
1759626000,1.25e-05
1759629600,1.25e-05
1759633200,1.25e-05
1759636800,1.25e-05
1759640400,1.25e-05
1759644000,1.25e-05
1759647600,1.25e-05
1759651200,1.25e-05
1759654800,1.25e-05
1759658400,1.25e-05
1759662000,1.25e-05
1759665600,1.25e-05
1759669200,1.25e-05
1759672800,1.25e-05
1759676400,1.25e-05
1759680000,1.25e-05
1759683600,1.25e-05
1759687200,1.25e-05
1759690800,1.25e-05
1759694400,1.25e-05
1759698000,1.25e-05
1759701600,1.25e-05
1759705200,1.25e-05
1759708800,1.25e-05
1759712400,1.25e-05
1759716000,1.25e-05
1759719600,1.3939e-05
1759723200,1.28311e-05
1759726800,1.25e-05
1759730400,1.25e-05
1759734000,2.18079e-05
1759737600,1.28898e-05
1759741200,2.26294e-05
1759744800,2.00151e-05
1759748400,1.57006e-05
1759752000,1.73421e-05
1759755600,1.49045e-05
1759759200,1.77899e-05
1759762800,1.25e-05
1759766400,1.25e-05
1759770000,1.25e-05
1759773600,1.25e-05
1759777200,1.25e-05
1759780800,1.25e-05
1759784400,1.25e-05
1759788000,1.25e-05
1759791600,1.25e-05
1759795200,1.25e-05
1759798800,1.25e-05
1759802400,1.25e-05
1759806000,1.25e-05
1759809600,1.25e-05
1759813200,1.25e-05
1759816800,1.25e-05
1759820400,1.25e-05
1759824000,1.25e-05
1759827600,1.25e-05
1759831200,1.25e-05
1759834800,1.25e-05
1759838400,1.25e-05
1759842000,1.25e-05
1759845600,1.25e-05
1759849200,1.25e-05
1759852800,1.71799e-05
1759856400,1.25e-05
1759860000,1.25e-05
1759863600,1.25e-05
1759867200,1.25e-05
1759870800,2.48032e-05
1759874400,2.51743e-05
1759878000,2.73543e-05
1759881600,2.10651e-05
1759885200,2.2767e-05
1759888800,3.04657e-05
1759892400,2.78045e-05
1759896000,1.73722e-05
1759899600,1.92435e-05
1759903200,1.46992e-05
1759906800,2.08393e-05
1759910400,1.85258e-05
1759914000,1.41329e-05
1759917600,1.46876e-05
1759921200,1.25e-05
1759924800,1.25e-05
1759928400,1.25e-05
1759932000,1.25e-05
1759935600,1.25e-05
1759939200,1.25e-05
1759942800,1.25e-05
1759946400,1.25e-05
1759950000,1.25e-05
1759953600,1.25e-05
1759957200,1.25e-05
1759960800,1.25e-05
1759964400,1.25e-05
1759968000,1.39685e-05
1759971600,1.25e-05
1759975200,1.25e-05
1759978800,1.25e-05
1759982400,1.25e-05
1759986000,1.25e-05
1759989600,1.25e-05
1759993200,1.25e-05
1759996800,1.25e-05
1760000400,1.25e-05
1760004000,1.25e-05
1760007600,1.25e-05
1760011200,1.25e-05
1760014800,1.25e-05
1760018400,1.25e-05
1760022000,1.25e-05
1760025600,1.25e-05
1760029200,1.25e-05
1760032800,1.25e-05
1760036400,1.25e-05
1760040000,1.25e-05
1760043600,1.25e-05
1760047200,1.25e-05
1760050800,1.25e-05
1760054400,1.25e-05
1760058000,1.25e-05
1760061600,1.25e-05
1760065200,1.25e-05
1760068800,1.25e-05
1760072400,1.25e-05
1760076000,1.25e-05
1760079600,1.25e-05
1760083200,6.6545e-06
1760086800,1.00394e-05
1760090400,1.25e-05
1760094000,1.25e-05
1760097600,1.25e-05
1760101200,1.25e-05
1760104800,9.1909e-06
1760108400,7.4779e-06
1760112000,-1.92686e-05
1760115600,-5.4947e-06
1760119200,7.1672e-06
1760122800,5.2177e-06
1760126400,-1.51557e-05
1760130000,-3.70817e-05
1760133600,-0.0003855844
1760137200,-0.0002295805
1760140800,-9.06934e-05
1760144400,-3.08253e-05
1760148000,-2.23573e-05
1760151600,-4.2468e-06
1760155200,-1.66816e-05
1760158800,-1.57125e-05
1760162400,-2.25903e-05
1760166000,-2.20119e-05
1760169600,-1.94588e-05
1760173200,-4.2937e-06
1760176800,-1.03715e-05
1760180400,-4.1965e-06
1760184000,-6.0389e-06
1760187600,-8.6772e-06
1760191200,-1.3628e-06
1760194800,-3.4604e-06
1760198400,-5.3344e-06
1760202000,-5.6149e-06
1760205600,-3.5194e-06
1760209200,-1.0889e-06
1760212800,-9.2761e-06
1760216400,-1.40902e-05
1760220000,-1.1661e-05
1760223600,-9.4227e-06
1760227200,-5.8552e-06
1760230800,-5.3472e-06
1760234400,6.7472e-06
1760238000,1.25e-05
1760241600,1.25e-05
1760245200,-1.7288e-06
1760248800,-4.6767e-06
1760252400,-4.205e-07
1760256000,-8.7536e-06
1760259600,-4.9448e-06
1760263200,-8.4584e-06
1760266800,-5.3994e-06
1760270400,4.518e-07
1760274000,2.5512e-06
1760277600,-9.4583e-06
1760281200,-2.5775e-06
1760284800,1.6082e-06
1760288400,5.1948e-06
1760292000,1.21576e-05
1760295600,1.389e-06
1760299200,2.5097e-06
1760302800,9.5928e-06
1760306400,1.25e-05
1760310000,8.279e-06
1760313600,3.2523e-06
1760317200,7.2843e-06
1760320800,9.2947e-06
1760324400,1.25e-05
1760328000,1.25e-05
1760331600,1.25e-05
1760335200,1.25e-05
1760338800,9.6184e-06
1760342400,1.25e-05
1760346000,1.25e-05
1760349600,1.25e-05
1760353200,1.25e-05
1760356800,1.25e-05
1760360400,1.25e-05
1760364000,1.25e-05
1760367600,1.25e-05
1760371200,1.25e-05
1760374800,1.25e-05
1760378400,1.25e-05
1760382000,1.25e-05
1760385600,8.8793e-06
1760389200,-7.6636e-06
1760392800,7.112e-07
1760396400,7.4129e-06
1760400000,7.9749e-06
1760403600,1.11164e-05
1760407200,7.8215e-06
1760410800,-4.102e-07
1760414400,2.2173e-06
1760418000,1.25e-05
1760421600,1.05876e-05
1760425200,6.8536e-06
1760428800,1.1361e-05
1760432400,7.644e-06
1760436000,1.25e-05
1760439600,5.3463e-06
1760443200,1.25e-05
1760446800,8.4146e-06
1760450400,8.1889e-06
1760454000,1.25e-05
1760457600,1.25e-05
1760461200,1.25e-05
1760464800,1.25e-05
1760468400,1.25e-05
1760472000,1.25e-05
1760475600,1.25e-05
1760479200,1.25e-05
1760482800,1.25e-05
1760486400,1.25e-05
1760490000,1.25e-05
1760493600,1.25e-05
1760497200,1.25e-05
1760500800,1.25e-05
1760504400,1.25e-05
1760508000,1.25e-05
1760511600,1.25e-05
1760515200,1.25e-05
1760518800,1.25e-05
1760522400,1.25e-05
1760526000,1.25e-05
1760529600,1.25e-05
1760533200,1.25e-05
1760536800,1.25e-05
1760540400,1.25e-05
1760544000,1.10702e-05
1760547600,6.3564e-06
1760551200,5.3386e-06
1760554800,1.25e-05
1760558400,-3.2505e-06
1760562000,-3.83e-06
1760565600,1.7979e-06
1760569200,8.787e-07
1760572800,4.8922e-06
1760576400,5.0411e-06
1760580000,6.4116e-06
1760583600,1.2213e-06
1760587200,7.2814e-06
1760590800,6.9449e-06
1760594400,1.0168e-06
1760598000,3.7615e-06
1760601600,2.2938e-06
1760605200,-7.6721e-06
1760608800,1.2627e-06
1760612400,1.03495e-05
1760616000,1.25e-05
1760619600,1.25e-05
1760623200,1.25e-05
1760626800,1.25e-05
1760630400,-4.0871e-06
1760634000,-8.594e-06
1760637600,-6.295e-07
1760641200,2.1164e-06
1760644800,3.3429e-06
1760648400,-1.11214e-05
1760652000,-7.5308e-06
1760655600,-5.9272e-06
1760659200,-1.1576e-06
1760662800,5.9256e-06
1760666400,4.2195e-06
1760670000,4.3108e-06
1760673600,4.5306e-06
1760677200,3.61e-08
1760680800,-4.5813e-06
1760684400,-1.58959e-05
1760688000,1.25e-05
1760691600,1.25e-05
1760695200,1.25e-05
1760698800,1.25e-05
1760702400,1.25e-05
1760706000,1.25e-05
1760709600,1.25e-05
1760713200,1.25e-05
1760716800,1.25e-05
1760720400,1.25e-05
1760724000,1.25e-05
1760727600,1.25e-05
1760731200,1.25e-05
1760734800,1.25e-05
1760738400,1.25e-05
1760742000,1.25e-05
1760745600,1.25e-05
1760749200,1.25e-05
1760752800,1.25e-05
1760756400,1.25e-05
1760760000,1.25e-05
1760763600,1.19433e-05
1760767200,1.15279e-05
1760770800,1.25e-05
1760774400,1.25e-05
1760778000,1.25e-05
1760781600,1.25e-05
1760785200,1.25e-05
1760788800,1.25e-05
1760792400,1.25e-05
1760796000,1.23834e-05
1760799600,1.25e-05
1760803200,1.25e-05
1760806800,1.12136e-05
1760810400,7.6436e-06
