strategy,final_value,total_return,cagr,ann_vol,sharpe,max_drawdown,fees,fee_apr,hedge_pnl,funding,costs,rebalances,time_in_range
HODL 50/50,81565.35103429164,-0.18434648965708356,-0.18434648965708356,0.23237922507186967,-0.8768668275284593,-0.36242256037046894,0.0,0.0,0.0,0.0,0.0,0,1.0
Full range,82518.99963734436,-0.1748100036265564,-0.1748100036265564,0.2975529129989792,-0.6457393362110979,-0.4120173702294382,3064.168400607532,0.03064168400607532,0.0,0.0,0.0,0,1.0
±50% static,79283.62239641453,-0.20716377603585467,-0.20716377603585467,0.4921177266325795,-0.4717135621650202,-0.5365063704371269,9058.769569199027,0.09058769569199027,0.0,0.0,0.0,0,0.3442351598173516
±20% static,73960.97644772827,-0.26039023552271723,-0.26039023552271723,0.5169846598695986,-0.5834458942290671,-0.5715440806825811,7817.515819335551,0.0781751581933555,0.0,0.0,0.0,0,0.12003424657534247
±10% static,76020.7208400032,-0.23979279159996802,-0.23979279159996802,0.4967534644709525,-0.551912084845498,-0.5622993015372725,11349.35034534967,0.11349350345349671,0.0,0.0,0.0,0,0.10165525114155251
±50% rebalanced,73712.93562894284,-0.26287064371057156,-0.26287064371057156,0.3385052767875539,-0.9009959541405297,-0.42485909002794575,15254.700454739446,0.15254700454739445,0.0,0.0,61.18110469578628,3,0.9998287671232877
±20% rebalanced,80777.44954224967,-0.19222550457750331,-0.19222550457750331,0.2665097940817415,-0.8009925112621665,-0.3502497116428783,30405.74884374887,0.3040574884374887,0.0,0.0,178.59680673843152,9,0.999486301369863
±10% rebalanced,69793.75784976924,-0.30206242150230755,-0.30206242150230755,0.21754645827928382,-1.6530979734154154,-0.4088014759318368,41762.03159331382,0.4176203159331382,0.0,0.0,667.4932226469285,38,0.9978310502283105
±5% rebalanced,67829.07878945778,-0.32170921210542225,-0.32170921210542225,0.16633596834268471,-2.333705669055149,-0.3745862315692595,58736.62426856455,0.5873662426856455,0.0,0.0,1839.29268280273,134,0.992351598173516
"Full range, hedged",101665.98671421154,0.016659867142115425,0.016659867142115425,0.004403557153269926,3.803206954125865,-0.0033660801882626767,3064.168400607532,0.03064168400607532,16761.069684875343,2482.3980679727233,96.48067598088299,0,1.0
"±50% rebal., hedged",98483.713680137,-0.015162863198629917,-0.015162863198629917,0.02175513695114857,-0.6919730979922442,-0.03076786708417778,15254.700454739446,0.15254700454739445,23066.455433561216,2117.387213817809,474.24570088065616,3,0.9998287671232877
"±20% rebal., hedged",94019.0443600825,-0.05980955639917507,-0.05980955639917507,0.040996119153421974,-1.4988686884484663,-0.0704990641687483,30405.74884374887,0.3040574884374887,12176.135342351003,1882.2284217725598,995.3657530291595,9,0.999486301369863
"±10% rebal., hedged",92335.15417013451,-0.07664845829865485,-0.07664845829865485,0.047473462547078224,-1.6750457798182359,-0.09200641110223096,41762.03159331382,0.4176203159331382,22218.792788752555,1380.711066451089,1725.6007574853074,38,0.9978310502283105
